,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
0,Cospea B&B,"9,0",Eccellente ,674 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 55,"1,7 km dal centro",Terni,,3.0,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti Singoli2 letti singoliColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
1,Rosy Bed&Breakfast,"9,0",Eccellente ,330 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 77,1 km dal centro,Terni,,4.0,Camera Matrimoniale con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato Esterno 1 letto matrimoniale largeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
2,Hotel De Paris,"7,2",Buono ,869 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 69,"0,9 km dal centro",Terni,3.0,,Camera Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Doppia con Letti Singoli2 letti singoliColazione inclusaRestano solo 6 camere a questo prezzo sul nostro sito
3,Pied-à-terre ADELMA,Novità su booking,Novità su booking,Novità su booking,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 53,"1,1 km dal centro",Terni,,,Appartamento con 2 Camere da Letto,Configurazione camera non disponibile,"Appartamento con 2 Camere da Letto2 letti (1 matrimoniale, 1 futon)"
4,angolo verde,"8,0",Ottimo ,7 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 63,"2,6 km dal centro",Terni,,,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
5,Asso Residence Ospedale,"8,8",Favoloso ,1.297 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 89,"1,9 km dal centro",Terni,,3.0,Appartamento Monolocale,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 30m²,Appartamento MonolocaleIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 30m²1 letto matrimoniale alla franceseCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaNe resta solo 1 a questo prezzo sul nostro sito
6,Asso Residence,"8,2",Ottimo ,1.341 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 79,"2,1 km dal centro",Terni,,3.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale StandardLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 2 camere a questo prezzo sul nostro sito
7,Asso Residence GOLD,"8,4",Ottimo ,17 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 94,"1,9 km dal centro",Terni,,3.0,Camera King Superior ,Configurazione camera non disponibile,Camera King Superior 1 letto matrimoniale largeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
8,B&B Angolo Verde,"8,6",Favoloso ,219 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 69,"2,6 km dal centro",Terni,,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimoniale alla franceseCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
9,Residence Viviverde,"8,8",Favoloso ,620 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 76,"3,6 km dal centro",Terni,,4.0,Appartamento Standard,Intero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 35m²,Appartamento StandardIntero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 35m²1 letto matrimonialeNe resta solo 1 a questo prezzo sul nostro sito
10,Asso Residence Centro,"7,9",Buono ,980 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 81,40 m dal centro,Terni,,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliVari tipi di lettoRestano solo 4 camere a questo prezzo sul nostro sito
11,Santa Filomena Guest House,"9,7",Eccezionale ,11 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 74,1 km dal centro,Terni,,3.0,Camera Tripla,Configurazione camera non disponibile,"Camera Tripla2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
12,Hotel Valentino,"8,5",Ottimo ,754 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 183,"0,9 km dal centro",Terni,4.0,,Camera Matrimoniale Deluxe con Balcone,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Balcone1 letto matrimonialeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
13,Classic Hotel Tulipano,"7,5",Buono ,406 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 128,"1,7 km dal centro",Terni,3.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeColazione inclusaCancellazione gratuita
14,A casa di Alma,"9,2",Eccellente ,101 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 81,"1,2 km dal centro",Terni,,3.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
15,Hotel Michelangelo Palace & SPA,"7,8",Buono ,669 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 174,1 km dal centro,Terni,4.0,,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeColazione inclusaCancellazione gratuitaSenza pagamento anticipato – Paga in struttura
16,Via Roma,"9,2",Eccellente ,76 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 84,"0,7 km dal centro",Terni,,3.0,Camera King con Balcone ,Configurazione camera non disponibile,"Camera King con Balcone 2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
